# P (Pa)	T (K)	rho (kg/m3)	ad_grad
1.000000000000e+01	2.894266124717e+02	9.701063887791e-06	3.046495091929e-01
1.000000000000e+01	2.961910329773e+02	9.479291775689e-06	3.325980028058e-01
1.000000000000e+01	3.031135501568e+02	9.262475397949e-06	3.616788049293e-01
1.000000000000e+01	3.101978590138e+02	9.050663291117e-06	3.831878036825e-01
1.000000000000e+01	3.174477409109e+02	8.844032626507e-06	3.891333046677e-01
1.000000000000e+01	3.248670655878e+02	8.642909883522e-06	3.756332066510e-01
1.000000000000e+01	3.324597932271e+02	8.447749965981e-06	3.454743534591e-01
1.000000000000e+01	3.402299765678e+02	8.259017594480e-06	3.074419009592e-01
1.000000000000e+01	3.481817630689e+02	8.076994908076e-06	2.738833710703e-01
1.000000000000e+01	3.563193971229e+02	7.901519141524e-06	2.570791042037e-01
1.000000000000e+01	3.646472223213e+02	7.731651178667e-06	2.643303347830e-01
1.000000000000e+01	3.731696837733e+02	7.565507906879e-06	2.941998492736e-01
1.000000000000e+01	3.818913304782e+02	7.400568058151e-06	3.371611049778e-01
1.000000000000e+01	3.908168177536e+02	7.234276336481e-06	3.785319905036e-01
1.000000000000e+01	3.999509097204e+02	7.064894098965e-06	4.028964190588e-01
1.000000000000e+01	4.092984818452e+02	6.892603090161e-06	4.001206878153e-01
1.000000000000e+01	4.188645235435e+02	6.720211871366e-06	3.699979831232e-01
1.000000000000e+01	4.286541408421e+02	6.552639900464e-06	3.217497694852e-01
1.000000000000e+01	4.386725591048e+02	6.395698058301e-06	2.709920004026e-01
1.000000000000e+01	4.489251258219e+02	6.254325042084e-06	2.351038150231e-01
1.000000000000e+01	4.594173134636e+02	6.130257049801e-06	2.268859290191e-01
1.000000000000e+01	4.701547224022e+02	6.020406736037e-06	2.496004917731e-01
1.000000000000e+01	4.811430839003e+02	5.917491188056e-06	2.971240426805e-01
1.000000000000e+01	4.923882631707e+02	5.811854179750e-06	3.564699504482e-01
1.000000000000e+01	5.038962625065e+02	5.694156765521e-06	4.117278245572e-01
1.000000000000e+01	5.156732244855e+02	5.558977611769e-06	4.495199998260e-01
1.000000000000e+01	5.277254352484e+02	5.407435515194e-06	4.633306567447e-01
1.000000000000e+01	5.400593278542e+02	5.246672356595e-06	4.536824424784e-01
1.000000000000e+01	5.526814857145e+02	5.087792506181e-06	4.265374928031e-01
1.000000000000e+01	5.655986461065e+02	4.942746947219e-06	3.907285017652e-01
1.000000000000e+01	5.788177037701e+02	4.820104206201e-06	3.543557584631e-01
1.000000000000e+01	5.923457145876e+02	4.721823958778e-06	3.219415929186e-01
1.000000000000e+01	6.061898993498e+02	4.643327570949e-06	2.942813192900e-01
1.000000000000e+01	6.203576476104e+02	4.575029880642e-06	2.693746562591e-01
1.000000000000e+01	6.348565216305e+02	4.504769187970e-06	2.439073637645e-01
1.000000000000e+01	6.496942604146e+02	4.421195864030e-06	2.153095284391e-01
1.000000000000e+01	6.648787838417e+02	4.316508816907e-06	1.833161439366e-01
1.000000000000e+01	6.804181968927e+02	4.186892674345e-06	1.499293208810e-01
1.000000000000e+01	6.963207939764e+02	4.032112982061e-06	1.187246666050e-01
1.000000000000e+01	7.125950633568e+02	3.854733113113e-06	9.378643563391e-02
1.000000000000e+01	7.292496916841e+02	3.658921896469e-06	7.825788502236e-02
1.000000000000e+01	7.462935686310e+02	3.449454110610e-06	7.325119127170e-02
1.000000000000e+01	7.637357916378e+02	3.231480386396e-06	7.783819387089e-02
1.000000000000e+01	7.815856707684e+02	3.010484276061e-06	8.948383811299e-02
1.000000000000e+01	7.998527336797e+02	2.792225834639e-06	1.047443635937e-01
1.000000000000e+01	8.185467307069e+02	2.582659991271e-06	1.202438465963e-01
1.000000000000e+01	8.376776400683e+02	2.387762631797e-06	1.334428749518e-01
1.000000000000e+01	8.572556731909e+02	2.213199983763e-06	1.427571683841e-01
1.000000000000e+01	8.772912801613e+02	2.063872033705e-06	1.474572068393e-01
1.000000000000e+01	8.977951553033e+02	1.943323432539e-06	1.474737512807e-01
1.000000000000e+01	9.187782428863e+02	1.853034804039e-06	1.431061251362e-01
1.000000000000e+01	9.402517429670e+02	1.791995928698e-06	1.348213658568e-01
1.000000000000e+01	9.622271173675e+02	1.756914493355e-06	1.233051903063e-01
1.000000000000e+01	9.847160957934e+02	1.742775741096e-06	1.096004779302e-01
1.000000000000e+01	1.007730682094e+03	1.743712774364e-06	9.528785233026e-02
1.000000000000e+01	1.031283160672e+03	1.754193493049e-06	8.269138129278e-02
1.000000000000e+01	1.055386103037e+03	1.769882865335e-06	7.485680232540e-02
1.000000000000e+01	1.080052374516e+03	1.787661331053e-06	7.508913153251e-02
1.000000000000e+01	1.105295141126e+03	1.805332437508e-06	8.620878971860e-02
1.000000000000e+01	1.131127876594e+03	1.821147735860e-06	1.095343540498e-01
1.000000000000e+01	1.157564369553e+03	1.833151529641e-06	1.436272757662e-01
1.000000000000e+01	1.184618730903e+03	1.838765089773e-06	1.836908312372e-01
1.000000000000e+01	1.212305401338e+03	1.834930546213e-06	2.223222301881e-01
1.000000000000e+01	1.240639159059e+03	1.818477525731e-06	2.509928121791e-01
1.000000000000e+01	1.269635127660e+03	1.786639819323e-06	2.621789722938e-01
1.000000000000e+01	1.299308784200e+03	1.737718650000e-06	2.521022958512e-01
1.000000000000e+01	1.329675967466e+03	1.671579003553e-06	2.224023606145e-01
1.000000000000e+01	1.360752886424e+03	1.589754145677e-06	1.795254479169e-01
1.000000000000e+01	1.392556128874e+03	1.495404870989e-06	1.330793746310e-01
1.000000000000e+01	1.425102670303e+03	1.393181927018e-06	9.335865813869e-02
1.000000000000e+01	1.458409882944e+03	1.288965060586e-06	6.807247778152e-02
1.000000000000e+01	1.492495545052e+03	1.189448031150e-06	6.016972467663e-02
1.000000000000e+01	1.527377850391e+03	1.101531870887e-06	6.803300229513e-02
1.000000000000e+01	1.563075417946e+03	1.031478210454e-06	8.657817852674e-02
1.000000000000e+01	1.599607301861e+03	9.837673521819e-07	1.089893215730e-01
1.000000000000e+01	1.636993001612e+03	9.597096778036e-07	1.290732107497e-01
1.000000000000e+01	1.675252472408e+03	9.567389547551e-07	1.429041278083e-01
1.000000000000e+01	1.714406135852e+03	9.689902805320e-07	1.489372213968e-01
1.000000000000e+01	1.754474890833e+03	9.885351669533e-07	1.476458844087e-01
1.000000000000e+01	1.795480124688e+03	1.007217338959e-06	1.408956322622e-01
1.000000000000e+01	1.837443724611e+03	1.019042188305e-06	1.310540364800e-01
1.000000000000e+01	1.880388089341e+03	1.021669634782e-06	1.203149112584e-01
1.000000000000e+01	1.924336141116e+03	1.016159463793e-06	1.105035291507e-01
1.000000000000e+01	1.969311337907e+03	1.006039313250e-06	1.029612525986e-01
1.000000000000e+01	2.015337685942e+03	9.958589044679e-07	9.841475592661e-02
1.000000000000e+01	2.062439752514e+03	9.892672581216e-07	9.684436131061e-02
1.000000000000e+01	2.110642679102e+03	9.877862698146e-07	9.748631897842e-02
1.000000000000e+01	2.159972194783e+03	9.909120077676e-07	9.905093377590e-02
1.000000000000e+01	2.210454629971e+03	9.966650798314e-07	1.000863863980e-01
1.000000000000e+01	2.262116930469e+03	1.002446013713e-06	9.949741882737e-02
1.000000000000e+01	2.314986671851e+03	1.006168881187e-06	9.718806349995e-02
1.000000000000e+01	2.369092074183e+03	1.006971197207e-06	9.434737697857e-02
1.000000000000e+01	2.424462017082e+03	1.005151089613e-06	9.312726606079e-02
1.000000000000e+01	2.481126055138e+03	1.001848848803e-06	9.603046120671e-02
1.000000000000e+01	2.539114433680e+03	9.985527907207e-07	1.050332324437e-01
1.000000000000e+01	2.598458104929e+03	9.964478819236e-07	1.204919942561e-01
1.000000000000e+01	2.659188744513e+03	9.960164612238e-07	1.405941156757e-01
1.000000000000e+01	2.721338768375e+03	9.970785160106e-07	1.617160696412e-01
1.000000000000e+01	2.784941350081e+03	9.989755569390e-07	1.791825981809e-01
1.000000000000e+01	2.850030438518e+03	1.000855394629e-06	1.883838843797e-01
1.000000000000e+01	2.916640776024e+03	1.002045404286e-06	1.862060820119e-01
1.000000000000e+01	2.984807916924e+03	1.002276342583e-06	1.719399194996e-01
1.000000000000e+01	3.054568246515e+03	1.001656799150e-06	1.473144857770e-01
1.000000000000e+01	3.125959000482e+03	1.000567056015e-06	1.162429637854e-01
1.000000000000e+01	3.199018284775e+03	9.994950107707e-07	8.435435267361e-02
1.000000000000e+01	3.273785095949e+03	9.988223779324e-07	5.828264039593e-02
1.000000000000e+01	3.350299341977e+03	9.986993394871e-07	4.483749028371e-02
1.000000000000e+01	3.428601863557e+03	9.990605658600e-07	5.006608074123e-02
1.000000000000e+01	3.508734455903e+03	9.996864792720e-07	7.802092671831e-02
1.000000000000e+01	3.590739891061e+03	1.000297783161e-06	1.291416294500e-01
1.000000000000e+01	3.674661940737e+03	1.000677893110e-06	1.984341858555e-01
1.000000000000e+01	3.760545399658e+03	1.000743093004e-06	2.751143065788e-01
1.000000000000e+01	3.848436109487e+03	1.000532584788e-06	3.443757118034e-01
1.000000000000e+01	3.938380983288e+03	1.000173130258e-06	3.903512017525e-01
1.000000000000e+01	4.030428030568e+03	9.998245917333e-07	4.003055623328e-01
1.000000000000e+01	4.124626382901e+03	9.996098376629e-07	3.697115252668e-01
1.000000000000e+01	4.221026320157e+03	9.995755028551e-07	3.044981584340e-01
1.000000000000e+01	4.319679297334e+03	9.996981190998e-07	2.192247907829e-01
1.000000000000e+01	4.420637972029e+03	9.999045208907e-07	1.334532685786e-01
1.000000000000e+01	4.523956232538e+03	1.000103218986e-06	6.640753834085e-02
1.000000000000e+01	4.629689226627e+03	1.000224522195e-06	3.033657301677e-02
1.000000000000e+01	4.737893390963e+03	1.000242470373e-06	2.716013371990e-02
1.000000000000e+01	4.848626481239e+03	1.000171082552e-06	4.972246303156e-02
1.000000000000e+01	4.961947603003e+03	1.000052581209e-06	8.476635805191e-02
1.000000000000e+01	5.077917243205e+03	9.999393188162e-07	1.174309140389e-01
1.000000000000e+01	5.196597302486e+03	9.998708173988e-07	1.369141024711e-01
1.000000000000e+01	5.318051128214e+03	9.998615175152e-07	1.394361552717e-01
1.000000000000e+01	5.442343548300e+03	9.999030611800e-07	1.275429115749e-01
1.000000000000e+01	5.569540905800e+03	9.999710870211e-07	1.082030401853e-01
1.000000000000e+01	5.699711094326e+03	1.000035641547e-06	8.989664499022e-02
1.000000000000e+01	5.832923594286e+03	1.000074315696e-06	7.894469322517e-02
1.000000000000e+01	5.969249509971e+03	1.000079083016e-06	7.760166680662e-02
1.000000000000e+01	6.108761607505e+03	1.000054917447e-06	8.444949365750e-02
1.000000000000e+01	6.251534353690e+03	1.000015872404e-06	9.550619358408e-02
1.000000000000e+01	6.397643955748e+03	9.999790835361e-07	1.059213806510e-01
1.000000000000e+01	6.547168402005e+03	9.999572545600e-07	1.121004604950e-01
1.000000000000e+01	6.700187503510e+03	9.999548431389e-07	1.127826566002e-01
1.000000000000e+01	6.856782936642e+03	9.999688941418e-07	1.088050093506e-01
1.000000000000e+01	7.017038286704e+03	9.999913019688e-07	1.024620813799e-01
1.000000000000e+01	7.181039092537e+03	1.000012265030e-06	9.652826625292e-02
1.000000000000e+01	7.348872892180e+03	1.000024582874e-06	9.304161908284e-02
1.000000000000e+01	7.520629269592e+03	1.000025781984e-06	9.270222561997e-02
1.000000000000e+01	7.696399902471e+03	1.000017615373e-06	9.501385435630e-02
1.000000000000e+01	7.876278611187e+03	1.000004757300e-06	9.865341726571e-02
1.000000000000e+01	8.060361408861e+03	9.999928135322e-07	1.020341718228e-01
1.000000000000e+01	8.248746552615e+03	9.999858645385e-07	1.040011231757e-01
1.000000000000e+01	8.441534596013e+03	9.999852815889e-07	1.041661289974e-01
1.000000000000e+01	8.638828442740e+03	9.999900262655e-07	1.028231209816e-01
1.000000000000e+01	8.840733401525e+03	9.999974035202e-07	1.007349479408e-01
1.000000000000e+01	9.047357242349e+03	1.000004207705e-06	9.880898586560e-02
1.000000000000e+01	9.258810253974e+03	1.000008126858e-06	9.769964836075e-02
1.000000000000e+01	9.475205302807e+03	1.000008401511e-06	9.762190627890e-02
1.000000000000e+01	9.696657893146e+03	1.000005645970e-06	9.840187741494e-02
1.000000000000e+01	9.923286228833e+03	1.000001413860e-06	9.959979906367e-02
1.000000000000e+01	1.015521127635e+04	9.999975380833e-07	1.006968589740e-01
1.000000000000e+01	1.039255682937e+04	9.999953283376e-07	1.013223395556e-01
1.000000000000e+01	1.063544957486e+04	9.999952048115e-07	1.013573042676e-01
1.000000000000e+01	1.088401916069e+04	9.999968045468e-07	1.009044904534e-01
1.000000000000e+01	1.113839826483e+04	9.999992320655e-07	1.002173680616e-01
1.000000000000e+01	1.139872266616e+04	1.000001439507e-06	9.959253978053e-02
1.000000000000e+01	1.166513131698e+04	1.000002685080e-06	9.923997357864e-02
1.000000000000e+01	1.193776641714e+04	1.000002736564e-06	9.922540060065e-02
1.000000000000e+01	1.221677348997e+04	1.000001808164e-06	9.948818925475e-02
1.000000000000e+01	1.250230145991e+04	1.000000415930e-06	9.988226873257e-02
1.000000000000e+01	1.279450273208e+04	9.999991588386e-07	1.002380953377e-01
1.000000000000e+01	1.309353327354e+04	9.999984569481e-07	1.004367692478e-01
1.000000000000e+01	1.339955269659e+04	9.999984384456e-07	1.004420064875e-01
1.000000000000e+01	1.371272434398e+04	9.999989770532e-07	1.002895506712e-01
1.000000000000e+01	1.403321537605e+04	9.999997754272e-07	1.000635665425e-01
1.000000000000e+01	1.436119685999e+04	1.000000491227e-06	9.986095541992e-02
1.000000000000e+01	1.469684386112e+04	1.000000886630e-06	9.974903463078e-02
1.000000000000e+01	1.504033553638e+04	1.000000890964e-06	9.974780786579e-02
1.000000000000e+01	1.539185522990e+04	1.000000578597e-06	9.983622496296e-02
1.000000000000e+01	1.575159057092e+04	1.000000120829e-06	9.996579865399e-02
1.000000000000e+01	1.611973357388e+04	9.999997132955e-07	1.000811532725e-01
1.000000000000e+01	1.649648074098e+04	9.999994906186e-07	1.001441831867e-01
1.000000000000e+01	1.688203316700e+04	9.999994917070e-07	1.001438751153e-01
1.000000000000e+01	1.727659664669e+04	9.999996728060e-07	1.000926140562e-01
1.000000000000e+01	1.768038178457e+04	9.999999352455e-07	1.000183291041e-01
1.000000000000e+01	1.809360410739e+04	1.000000167242e-06	9.995266118883e-02
1.000000000000e+01	1.851648417912e+04	1.000000292606e-06	9.991717619221e-02
1.000000000000e+01	1.894924771874e+04	1.000000289948e-06	9.991792877339e-02
1.000000000000e+01	1.939212572066e+04	1.000000184986e-06	9.994763872550e-02
1.000000000000e+01	1.984535457806e+04	1.000000034547e-06	9.999022114481e-02
1.000000000000e+01	2.030917620905e+04	9.999999024951e-07	1.000275992852e-01
1.000000000000e+01	2.078383818580e+04	9.999998319399e-07	1.000475703299e-01
1.000000000000e+01	2.126959386669e+04	9.999998346228e-07	1.000468109098e-01
1.000000000000e+01	2.176670253153e+04	9.999998954380e-07	1.000295968553e-01
1.000000000000e+01	2.227542952000e+04	9.999999816631e-07	1.000051903494e-01
1.000000000000e+01	2.279604637319e+04	1.000000056818e-06	9.998391738372e-02
1.000000000000e+01	2.332883097864e+04	1.000000096513e-06	9.997268141786e-02
1.000000000000e+01	2.387406771861e+04	1.000000094315e-06	9.997330352185e-02
1.000000000000e+01	2.443204762186e+04	1.000000059089e-06	9.998327443297e-02
1.000000000000e+01	2.500306851906e+04	1.000000009675e-06	9.999726151079e-02
1.000000000000e+01	2.558743520169e+04	9.999999669074e-07	1.000093670441e-01
1.000000000000e+01	2.618545958474e+04	9.999999445821e-07	1.000156863452e-01
1.000000000000e+01	2.679746087326e+04	9.999999462176e-07	1.000152233908e-01
1.000000000000e+01	2.742376573265e+04	9.999999666157e-07	1.000094496087e-01
1.000000000000e+01	2.806470846310e+04	9.999999949311e-07	1.000014347701e-01
1.000000000000e+01	2.872063117798e+04	1.000000019265e-06	9.999454689941e-02
1.000000000000e+01	2.939188398647e+04	1.000000031817e-06	9.999099409040e-02
1.000000000000e+01	3.007882518043e+04	1.000000030665e-06	9.999132001159e-02
1.000000000000e+01	3.078182142565e+04	1.000000018857e-06	9.999466244748e-02
1.000000000000e+01	3.150124795755e+04	1.000000002634e-06	9.999925452544e-02
1.000000000000e+01	3.223748878149e+04	9.999999887897e-07	1.000031731246e-01
1.000000000000e+01	3.299093687771e+04	9.999999817356e-07	1.000051698287e-01
1.000000000000e+01	3.376199441111e+04	9.999999825174e-07	1.000049485390e-01
1.000000000000e+01	3.455107294592e+04	9.999999893514e-07	1.000030141401e-01
1.000000000000e+01	3.535859366535e+04	9.999999986453e-07	1.000003834439e-01
1.000000000000e+01	3.618498759643e+04	1.000000006520e-06	9.999815438741e-02
1.000000000000e+01	3.703069584005e+04	1.000000010483e-06	9.999703265514e-02
1.000000000000e+01	3.789616980645e+04	1.000000009966e-06	9.999717911933e-02
1.000000000000e+01	3.878187145611e+04	1.000000006012e-06	9.999829833094e-02
1.000000000000e+01	3.968827354637e+04	1.000000000688e-06	9.999980521331e-02
1.000000000000e+01	4.061585988377e+04	9.999999962091e-07	1.000010730266e-01
1.000000000000e+01	4.156512558226e+04	9.999999939837e-07	1.000017029571e-01
1.000000000000e+01	4.253657732750e+04	9.999999943197e-07	1.000016078371e-01
1.000000000000e+01	4.353073364732e+04	9.999999966069e-07	1.000009604494e-01
1.000000000000e+01	4.454812518845e+04	9.999999996559e-07	1.000000974004e-01
1.000000000000e+01	4.558929499981e+04	1.000000002203e-06	9.999937640405e-02
1.000000000000e+01	4.665479882234e+04	1.000000003452e-06	9.999902279949e-02
1.000000000000e+01	4.774520538566e+04	1.000000003237e-06	9.999908367666e-02
1.000000000000e+01	4.886109671160e+04	1.000000001915e-06	9.999945805044e-02
1.000000000000e+01	5.000306842491e+04	1.000000000169e-06	9.999995229207e-02
1.000000000000e+01	5.117173007115e+04	9.999999987202e-07	1.000003622638e-01
1.000000000000e+01	5.236770544205e+04	9.999999980192e-07	1.000005606715e-01
1.000000000000e+01	5.359163290849e+04	9.999999981553e-07	1.000005221611e-01
1.000000000000e+01	5.484416576121e+04	9.999999989199e-07	1.000003057210e-01
1.000000000000e+01	5.612597255955e+04	9.999999999197e-07	1.000000227180e-01
1.000000000000e+01	5.743773748827e+04	1.000000000743e-06	9.999978963136e-02
1.000000000000e+01	5.878016072275e+04	1.000000001136e-06	9.999967835376e-02
1.000000000000e+01	6.015395880275e+04	1.000000001051e-06	9.999970248484e-02
1.000000000000e+01	6.155986501484e+04	1.000000000609e-06	9.999982758673e-02
1.000000000000e+01	6.299862978381e+04	1.000000000037e-06	9.999998961508e-02
1.000000000000e+01	6.447102107324e+04	9.999999995686e-07	1.000001221172e-01
1.000000000000e+01	6.597782479540e+04	9.999999993482e-07	1.000001844991e-01
1.000000000000e+01	6.751984523072e+04	9.999999994012e-07	1.000001694971e-01
1.000000000000e+01	6.909790545716e+04	9.999999996566e-07	1.000000972057e-01
1.000000000000e+01	7.071284778943e+04	9.999999999843e-07	1.000000044503e-01
1.000000000000e+01	7.236553422870e+04	1.000000000250e-06	9.999992913732e-02
1.000000000000e+01	7.405684692262e+04	1.000000000374e-06	9.999989418288e-02
1.000000000000e+01	7.578768863626e+04	1.000000000341e-06	9.999990344753e-02
1.000000000000e+01	7.755898323389e+04	1.000000000194e-06	9.999994521199e-02
1.000000000000e+01	7.937167617218e+04	1.000000000006e-06	9.999999830484e-02
1.000000000000e+01	8.122673500480e+04	9.999999998548e-07	1.000000411062e-01
1.000000000000e+01	8.312514989891e+04	9.999999997856e-07	1.000000606826e-01
1.000000000000e+01	8.506793416364e+04	9.999999998057e-07	1.000000549936e-01
1.000000000000e+01	8.705612479100e+04	9.999999998909e-07	1.000000308708e-01
1.000000000000e+01	8.909078300934e+04	9.999999999983e-07	1.000000004843e-01
1.000000000000e+01	9.117299484985e+04	1.000000000084e-06	9.999997616301e-02
1.000000000000e+01	9.330387172620e+04	1.000000000123e-06	9.999996520490e-02
1.000000000000e+01	9.548455102782e+04	1.000000000111e-06	9.999996868106e-02
1.000000000000e+01	9.771619672696e+04	1.000000000061e-06	9.999998261106e-02
1.000000000000e+01	1.000000000000e+05	1.000000000000e-06	1.000000000000e-01
1.051242324952e+01	1.000000000000e+02	2.951500221857e-05	3.098236518496e-01
1.051242324952e+01	1.023371798633e+02	2.883641501007e-05	3.085549206220e-01
1.051242324952e+01	1.047289838236e+02	2.817470732502e-05	3.093173013487e-01
1.051242324952e+01	1.071766885446e+02	2.752941952797e-05	3.114441426167e-01
1.051242324952e+01	1.096816005273e+02	2.690005660726e-05	3.143365151510e-01
1.051242324952e+01	1.122450568085e+02	2.628609592173e-05	3.174761375699e-01
1.051242324952e+01	1.148684256738e+02	2.568699588943e-05	3.204373746317e-01
1.051242324952e+01	1.175531073878e+02	2.510220552438e-05	3.228976095081e-01
1.051242324952e+01	1.203005349423e+02	2.453117467426e-05	3.246451182767e-01
1.051242324952e+01	1.231121748204e+02	2.397336474590e-05	3.255833691796e-01
1.051242324952e+01	1.259895277795e+02	2.342825962487e-05	3.257304260327e-01
1.051242324952e+01	1.289341296526e+02	2.289537639748e-05	3.252118484777e-01
1.051242324952e+01	1.319475521677e+02	2.237427536539e-05	3.242451446674e-01
1.051242324952e+01	1.350314037870e+02	2.186456870052e-05	3.231134365375e-01
1.051242324952e+01	1.381873305654e+02	2.136592691795e-05	3.221255350125e-01
1.051242324952e+01	1.414170170289e+02	2.087808214223e-05	3.215590819237e-01
1.051242324952e+01	1.447221870741e+02	2.040082697862e-05	3.215842824768e-01
1.051242324952e+01	1.481046048881e+02	1.993400922633e-05	3.221980552195e-01
1.051242324952e+01	1.515660758901e+02	1.947752386963e-05	3.232272477397e-01
1.051242324952e+01	1.551084476953e+02	1.903129905900e-05	3.243749086218e-01
1.051242324952e+01	1.587336111010e+02	1.859527286285e-05	3.252927535620e-01
1.051242324952e+01	1.624435010959e+02	1.816935902306e-05	3.256832282979e-01
1.051242324952e+01	1.662400978927e+02	1.775341559047e-05	3.253922288280e-01
1.051242324952e+01	1.701254279853e+02	1.734724295149e-05	3.244185318287e-01
1.051242324952e+01	1.741015652304e+02	1.695059734332e-05	3.228771283611e-01
1.051242324952e+01	1.781706319546e+02	1.656321082540e-05	3.209399630526e-01
1.051242324952e+01	1.823348000868e+02	1.618481818464e-05	3.187517310380e-01
1.051242324952e+01	1.865962923182e+02	1.581518115991e-05	3.163592761903e-01
1.051242324952e+01	1.909573832878e+02	1.545409268222e-05	3.137239169389e-01
1.051242324952e+01	1.954204007974e+02	1.510136986059e-05	3.107813642004e-01
1.051242324952e+01	1.999877270535e+02	1.475684067749e-05	3.075288712692e-01
1.051242324952e+01	2.046617999392e+02	1.442032347432e-05	3.041413275150e-01
1.051242324952e+01	2.094451143151e+02	1.409160887236e-05	3.010495038338e-01
1.051242324952e+01	2.143402233515e+02	1.377046085345e-05	2.988675552526e-01
1.051242324952e+01	2.193497398905e+02	1.345662718636e-05	2.982237370491e-01
1.051242324952e+01	2.244763378413e+02	1.314985350505e-05	2.995204868441e-01
1.051242324952e+01	2.297227536071e+02	1.284990119871e-05	3.026191818019e-01
1.051242324952e+01	2.350917875457e+02	1.255656386150e-05	3.066246996847e-01
1.051242324952e+01	2.405863054644e+02	1.226967373058e-05	3.100523411434e-01
1.051242324952e+01	2.462092401495e+02	1.198910272099e-05	3.112356372490e-01
1.051242324952e+01	2.519635929317e+02	1.171476025589e-05	3.089117488964e-01
1.051242324952e+01	2.578524352884e+02	1.144658703509e-05	3.029972082568e-01
1.051242324952e+01	2.638789104829e+02	1.118454499113e-05	2.951401795943e-01
1.051242324952e+01	2.700462352421e+02	1.092860417991e-05	2.884108628785e-01
1.051242324952e+01	2.763577014736e+02	1.067872391079e-05	2.864729093383e-01
1.051242324952e+01	2.828166780230e+02	1.043482574308e-05	2.923821155173e-01
1.051242324952e+01	2.894266124717e+02	1.019675802365e-05	3.069852985608e-01
1.051242324952e+01	2.961910329773e+02	9.964278522677e-06	3.277482003109e-01
