# Table 4 
# Equation of State Data Including Density and Enthalpy per Atom for Silicon-Carbon Material Phases
#
#
# Units for pressure, density, and enthalpy are (Mbar),(g cc^-1),(eV atom^-1)
Species,Structure,Pressure,Density,Enthalpy
Si_2C,I4mcm,35,15.1003,75.7578
Si_2C,I4mcm,37.5,15.5097,79.6042
Si_2C,I4mcm,40,15.9022,83.3526
SiC_2,Cmmm,5,7.023,10.0434
SiC_2,Cmmm,10,8.7326,21.4377
SiC_2,Cmmm,15,10.0603,31.0094
SiC_2,Cmmm,20,11.1627,39.4868
SiC_2,Cmmm,22.5,11.6592,43.4307
SiC_2,Cmmm,25,12.1212,47.2148
SiC_2,Cmmm,27.5,12.5706,50.859
SiC_2,Cmmm,30,12.9951,54.3792
SiC_2,Cmmm,32.5,13.4098,57.7884
SiC_2,Cmmm,35,13.7925,61.097
SiC_2,Cmmm,37.5,14.1736,64.3142
SiC_2,Cmmm,40,14.5414,67.4479
